z,Velocity,H2,NH3,N2,Ni(s),N(s),H(s),NH(s),NH2(s),NH3(s),GasTemperature
0.406069,0.001756426,0.0609586,0.158674,0.671756,0.0092101,0.135894,0.85055,0.000599084,8.11E-08,0.000417855,635.463
0.411569,0.001756,0.0609928,0.158481,0.671914,0.00917792,0.135005,0.85147,0.000595469,8.06E-08,0.000418491,635.204
0.417319,0.001755562,0.0610278,0.158284,0.672076,0.0091451,0.134102,0.852405,0.000591796,8.01E-08,0.000419138,634.939
0.423569,0.001755098,0.0610649,0.158075,0.672248,0.00911033,0.133149,0.853391,0.000587919,7.95E-08,0.000419822,634.659
0.429819,0.00175464,0.0611011,0.157871,0.672416,0.00907647,0.132225,0.854347,0.000584157,7.90E-08,0.000420487,634.386
0.437319,0.001754112,0.0611433,0.157633,0.672611,0.00903697,0.131153,0.855458,0.000579784,7.84E-08,0.000421262,634.067
0.444069,0.001753649,0.0611803,0.157425,0.672782,0.00900242,0.130219,0.856425,0.000575976,7.79E-08,0.000421938,633.788
0.450319,0.00175323,0.0612136,0.157237,0.672937,0.00897124,0.12938,0.857294,0.00057255,7.74E-08,0.000422547,633.535
0.456569,0.001752819,0.0612463,0.157053,0.673088,0.0089408,0.128564,0.85814,0.000569216,7.70E-08,0.000423141,633.289
0.463569,0.001752369,0.061282,0.156852,0.673254,0.00890754,0.127676,0.85906,0.000565587,7.65E-08,0.000423788,633.019
0.467819,0.001752105,0.0613032,0.156733,0.673352,0.00888777,0.12715,0.859605,0.000563435,7.62E-08,0.000424173,632.859
0.471569,0.001751874,0.0613217,0.156629,0.673437,0.00887058,0.126693,0.860078,0.000561567,7.59E-08,0.000424507,632.719
0.475319,0.001751643,0.0613399,0.156526,0.673522,0.00885361,0.126244,0.860544,0.000559727,7.57E-08,0.000424837,632.581
0.481069,0.001751296,0.0613674,0.156371,0.673649,0.00882804,0.125568,0.861245,0.00055696,7.53E-08,0.000425333,632.374
0.487319,0.001750924,0.0613968,0.156206,0.673785,0.00880081,0.124851,0.861988,0.000554023,7.49E-08,0.00042586,632.152
0.492819,0.00175061,0.0614221,0.156063,0.673902,0.00877733,0.124234,0.862627,0.000551496,7.46E-08,0.000426314,631.961
0.497319,0.001750353,0.0614425,0.155949,0.673997,0.00875845,0.12374,0.86314,0.000549468,7.43E-08,0.00042668,631.807
0.500862,0.001750155,0.0614583,0.155859,0.67407,0.00874377,0.123357,0.863537,0.000547896,7.41E-08,0.000426963,631.688
